Event	ID	Name			Wwise Object Path	Notes
	452547817	Stop_All			\Default Work Unit\Stop_All	
	1251254653	Play_SFX_Amb_Secret			\Default Work Unit\Play_SFX_Amb_Secret	
	1395785617	Play_SFX_Amb_Seagulls			\Default Work Unit\Play_SFX_Amb_Seagulls	
	1492024762	Stop_MUS_Overworld			\Default Work Unit\Stop_MUS_Overworld	
	1570490760	Play_SFX_Excav_Found			\Default Work Unit\Play_SFX_Excav_Found	
	1701975916	Play_SFX_Excav_Brush			\Default Work Unit\Play_SFX_Excav_Brush	
	3121859900	Play_SFX_Excav_Dig			\Default Work Unit\Play_SFX_Excav_Dig	
	3409418128	Play_SFX_Ocean			\Default Work Unit\Play_SFX_Ocean	
	3621165624	Play_MUS_Overworld			\Default Work Unit\Play_MUS_Overworld	
	3833599577	Play_SFX_Coin			\Default Work Unit\Play_SFX_Coin	
	3902146761	Play_SFX_Walk			\Default Work Unit\Play_SFX_Walk	
	4274094232	Play_SFX_Excav_Fail			\Default Work Unit\Play_SFX_Excav_Fail	

Switch Group	ID	Name			Wwise Object Path	Notes
	3865314626	Material			\Default Work Unit\Material	

Switch	ID	Name	Switch Group			Notes
	803837735	Sand	Material			
	2058049674	Wood	Material			
	2185786256	Gravel	Material			
	2195636714	Dirt	Material			
	4248645337	Grass	Material			

Modulator Time	ID	Name			Wwise Object Path	Notes
	772463187	Secret_Time_Mod			\Default Work Unit\Secret_Time_Mod	

Effect plug-ins	ID	Name	Type				Notes
	3216246379	Space_Dreaming	Wwise RoomVerb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	27833856	Sand_Walk2	D:\OneDrive\Documents\Github Projects\Uncovered\Uncovered_WwiseProject\.cache\Windows\SFX\Sand_Walk2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Overworld_Walk\SFX_Overworld_Walk_Sand\Sand_Walk2		78092
	43826471	Dirt_Walk2	D:\OneDrive\Documents\Github Projects\Uncovered\Uncovered_WwiseProject\.cache\Windows\SFX\Dirt_Walk2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Overworld_Walk\SFX_Overworld_Walk_Dirt\Dirt_Walk2		57616
	48977136	Wood_Walk3	D:\OneDrive\Documents\Github Projects\Uncovered\Uncovered_WwiseProject\.cache\Windows\SFX\Wood_Walk3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Overworld_Walk\SFX_Overworld_Walk_Wood\Wood_Walk3		189916
	61935095	Brush6	D:\OneDrive\Documents\Github Projects\Uncovered\Uncovered_WwiseProject\.cache\Windows\SFX\Brush6_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Excav_Brush\Brush6		265516
	81253111	Dig5	D:\OneDrive\Documents\Github Projects\Uncovered\Uncovered_WwiseProject\.cache\Windows\SFX\Dig5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Excav_Shovel\Dig5		95416
	92733396	Brush4	D:\OneDrive\Documents\Github Projects\Uncovered\Uncovered_WwiseProject\.cache\Windows\SFX\Brush4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Excav_Brush\Brush4		133216
	129270777	Dig2	D:\OneDrive\Documents\Github Projects\Uncovered\Uncovered_WwiseProject\.cache\Windows\SFX\Dig2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Excav_Shovel\Dig2		95416
	131420478	Gravel_Walk5	D:\OneDrive\Documents\Github Projects\Uncovered\Uncovered_WwiseProject\.cache\Windows\SFX\Gravel_Walk5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Overworld_Walk\SFX_Overworld_Walk_Gravel\Gravel_Walk5		76516
	140393224	SidewalkAmbience	D:\OneDrive\Documents\Github Projects\Uncovered\Uncovered_WwiseProject\.cache\Windows\SFX\SidewalkAmbience_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Overworld_Amb_Secret\SidewalkAmbience		2422480
	207061055	ExcavationFound	D:\OneDrive\Documents\Github Projects\Uncovered\Uncovered_WwiseProject\.cache\Windows\SFX\ExcavationFound_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\ExcavationFound		163140
	221023120	Sand_Walk1	D:\OneDrive\Documents\Github Projects\Uncovered\Uncovered_WwiseProject\.cache\Windows\SFX\Sand_Walk1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Overworld_Walk\SFX_Overworld_Walk_Sand\Sand_Walk1		77304
	282696491	Wood_Walk1	D:\OneDrive\Documents\Github Projects\Uncovered\Uncovered_WwiseProject\.cache\Windows\SFX\Wood_Walk1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Overworld_Walk\SFX_Overworld_Walk_Wood\Wood_Walk1		204092
	296835804	Brush5	D:\OneDrive\Documents\Github Projects\Uncovered\Uncovered_WwiseProject\.cache\Windows\SFX\Brush5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Excav_Brush\Brush5		189916
	347400003	Brush2	D:\OneDrive\Documents\Github Projects\Uncovered\Uncovered_WwiseProject\.cache\Windows\SFX\Brush2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Excav_Brush\Brush2		143452
	369913505	Dig1	D:\OneDrive\Documents\Github Projects\Uncovered\Uncovered_WwiseProject\.cache\Windows\SFX\Dig1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Excav_Shovel\Dig1		95416
	379701067	Wood_Walk2	D:\OneDrive\Documents\Github Projects\Uncovered\Uncovered_WwiseProject\.cache\Windows\SFX\Wood_Walk2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Overworld_Walk\SFX_Overworld_Walk_Wood\Wood_Walk2		213540
	412740056	Dig4	D:\OneDrive\Documents\Github Projects\Uncovered\Uncovered_WwiseProject\.cache\Windows\SFX\Dig4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Excav_Shovel\Dig4		95416
